Reviews,Ratings,Dates,Website
"The first time I started dining here was due to summerlicious. My friends and I all loved their summerlicious menu. Everything they serve was absolutely delicious. The flavours were just right and the steaks were perfectly cooked. The fried chicken was crispy on the outside yet juicy on the inside. The pan seared trout was nicely seasoned and not overcooked. As for dessert it was alright. Service was excellent. Visited this place a few times after that and even held my birthday party here. Food was alright but not as good as my summerlicious experience. We had a semi private table closer to the back of the restaurant. Service was still good. My friends brought a cake to cut there and there was a cake cutting fee. Forgot how much though. During my other visits, some of the things that stood out the most is the butter chicken. The butter chicken (16.95) is one of the best I've tried. It tasted rich and flavourful. I seemed very authentic. It was so good that my brown friend even thought it was really authentic for a restaurant that doesn't specialize in this type of cuisine. Portion size of it was pretty small though. The chicken carbonara ($19.99) was not that good. It wasn't as flavourful as expected. Seemed like something was missing. Lobster sirloin - I think it was a 7oz sirloin with lobster bits, mash potatoes and veggies. Not worth it. Felt like it was overprice. It was topped with really little lobster bits for an extra i think $8. You're better off going with a regular sirloin for cheaper. Peppercorn steak ($34.95) - 11oz New York steak. This one was okay but nothing special. A little overcooked. The sauce was good though.The decor is pretty simple and the lighting is pretty dim. It's pretty good for a romantic date. Washrooms are located upstairs. The washrooms nice and clean. Overall, okay place. Something's are reasonably priced but others are a little overpriced for the portion they give.",4.0,2017-03-19,Yelp
"Attended a winterlicious lunch. $18 for 3 courses. I ordered, and enjoyed:Tuna TostadasSteak Bibimbap. (steak slices are pretty obvious. the bibimbap component was ok. Could have used more sauce. This handily beat my expectations of mediocrity)Toffee Cake w Vanilla ice cream(Shrimp Ravioli was good too. It comes with a piece of shrimp on top of each of the 4-5 pieces of ravioli)Simple and good. The prices were quite reasonable.I probably wouldn't rush back outside of winterlicious, because I prefer ethnic restaurants.However, I would return for happy hour, considering it was pretty great during the yelp event which was hosted here a couple of years ago",3.0,2017-01-31,Yelp
"I've been meaning to come to Reds for sometime. Well reviewed and recommended in circles around the office. Often used by colleagues for lunch time office celebrations...birthdays, seasonal celebrations etc. I was a bit nervous because I'm more of a slow, intimate, quite kind of a diner. Less of a steakhouse, loud music kind of a guy. Some of that might be because I'm a vegetarian. The setting was intimate, gentle lighting. Music a touch loud for my delicate constitution but hey, 80's music is always a winner. The food was above, way above expected. Garden salad, truffle fries to start and there was the flash back to Tuscany. My partner had the salmon dish, fingerling potatoes with heirloom carrots and snow peas. 11 out of 10. I had the vegetarian, vegetable fricasee. Delicious, perfectly cooked and bursting in flavour if not a little too busy with the aforementioned flavours. 9.5/10Apple pie with cheddar, outstanding. Espresso delicious. Staff professional, friendly and attentive. What else can be said? Shout out to Felix the waitstaff for making the visit memorable.",4.0,2017-01-24,Yelp
"As a young barrister  I often visited Red's older, fancier sibling further downtown. Now a seasoned public servant I prefer things a bit more casual, a bit less expensive, and a lot less pretentious. While Yonge and Gerrard is hardly ""midtown"" in my book, this Reds outpost has managed to downscale somewhat while keeping food quality high and prices at the upper end of affordable. The room itself is huge; taking up a quadrant of the Aura condo behemoth. Decor is standard vague industrial; poured concrete and reclaimed wood and exposed metal. Nothing we haven't seen before, but done to reasonable effect here. There are a few odd design flourishes: a (non-working) retro cigarette vending machine at the front, and back-lit curios throughout filled with tchatchkes like sunglasses and lighters and keychains. I'm deducting half a star for inconveniently-located washrooms. Unless you nab the accessible unisex guy on the main floor (in plain view of everyone-HEY MA!!! LOOK!!! I'M GONNA PEE!!!) you're running up a few flights of stairs and through a busy alcove. I'll take another quarter-star for the mix of seating. Dining with a small party, we get comfy chairs on tables. As part of an office party, we are directed to a horseshoe of high stools around an elbow-level counter. Let me be clear: I hate the whole high-stool thing. I hate not being able to comfortably slide my chair into dining position under the table. I dislike feeling like I'm teetering during my meal, and while I'm hardly short, I resent feeling like I need a boost to sit in my high chair. This particular seating arrangement also puts one far enough away from the diner directly across from you that you can't make out a goddamn word. The last half-star I deduct is for wait times. Reds proudly proclaims it's a scratch kitchen, which is admirable. At lunch hour, it's a liability. I've never been during a work emergency, but if I did I'd be back on my horse to the office before I even received my menu. I imagine Reds is designed with local office workers in mind...so a few quicker options would be helpful.It's hard to find fault with the food itself. A luncheon steak frites arrives hot and done to a perfect char outside with a bleeding medium.rare heart. The potatoes are a cooked  few shades beyond amber, and shatteringly crisp. I could do without the gratuitous bitter raw greens, which I suspect are meant as garnish...I just usually eat everything on my plate (see: mint leaves at dessert). A return visit yields tender butter chicken, a bit spicier than expected (I usually expect the Indian equivalent of Big Mac Sauce) sided with rice and naan. I'd gladly trade one of the starches for a second veggie curry-saag paneer or chana masala or even roald daal. As it is, the only veg in the house is a fair bit of coarsley chopped onion. There are also appetizers; fries and dips, and beet hummus (which tastes better than it sounds, but is unremarkable). A warm, custom-baked apple pie with ice cream is the highlight. Coffee is strong and refilled frequently. Sometimes, a little bit downscale is just right.",4.0,2017-01-10,Yelp
"I came here for dinner and had wine and entrees. I wish they have nicer sitting areas that are more comfortable. However, the wine, fish and steak were all nice. The salmon was one of the best I've had. It had a really nice crispy crust that is similar to pork rinds. My only complaint is that one of the servers kept walking by giving me dirty looks. Doesn't she get treated out? Sucks to be her. My server was also the bartender. He was professional and prompt 88% of the time.",3.0,2016-12-27,Yelp
"I had to try out Reds for Summerlicious! It was a 3 course lunch for $18. This was a very large restaurant with abundant seating, no reservation needed at the time. We were delightfully seated outside on the courtyard patio.For appetizers, we had the tuna tostadas and crunchy Asian slaw. Both were very good. Great portion on the salad!I ordered the Curry and it came with some fresh veggies, naan, and rice. This dish was ok, not flavourful enough. It was unpleasant to find some pieces of crunchy rice. I wouldn't order it again. The dessert was a strawberry cheesecake in a mason jar. This was excellent, I enjoyed the simplicity of the dish: a layer of strawberry topping, cheesecake-like filling and graham cracker crust at the bottom. It tasted delicious.The servers constantly refilled our glasses of water and they were friendly. We waited a bit longer than usual for our food to arrive.By the end of the meal, we were stuffed. It was nice to try, dessert was definitely my favourite part.",3.0,2016-07-12,Yelp
Their gin and tonic nights are amazing and come in the proper big fish-bowl like glasses served with garnishing appropriate for the type of gin you order. The patio sits right amongst a relatively high traffic area which can be distracting but great if you want to be seen.,4.0,2016-07-29,Yelp
"Second time here. First time they informed me late that the one i ordered is out of stock so they had me ordered again and gave it for me. But all my friends are done and just about to eat. Now, i ordered a medium well steak and my friend ordered a medium rare steak. They interchanged it, so i have mine be cooked again, when they gave it to me. It was burned (see pic)",1.0,2017-03-10,Yelp
"Portions small, overpriced, service was slow even though it was a Wednesday and restaurant was not very busy. Thanks but will not be coming back!",1.0,2016-11-10,Yelp
"Reds is a stable of college park area, catering to many events and dinner parties. Having been there multiple times and sampling most of the menu, here is what I think of it after all these visits.The good: The interior! Reds interior is both beautiful and inviting. It's trendy look is definitely on par with high end dining spaces such as Joey's and Cactus club. It features both a nicely lit interior and also a patio area right outside on Yonge street. The gin & tonic selection is also something to rave about, offering creative options that are both delicious and out of the ordinary. Appetizers are also great sharables with great flavour, offering bold flavour that is a great start to a meal. My favourites are the sticky ribs and the lettuce cups.The bad: Quite recently, the best appetizers on the menu are nowhere to be found. Instead, the newly offered appetizers is just a small set (and quite frankly typical) of appetizers that is offered at any restaurant. Furthermore, Reds used to be a prime location for quality steaks at a good price point. Unfortunately, they've increased the price slightly, putting it in the range of every other wine bars. For what it's worth, the steaks are cooked well.The ugly: On my last visit, either our order was backlogged, or it was simply forgotten. It took an extremely long time to receive the main course. While the waitress was attentive to our order, there should be no reason that it takes over 40 minute plus for our order, despite semi filled restaurant.Here's the thing about reds...it is respectable chain restaurant that serve fantastic appetizers and drinks while focuses on offering a great experience. But it simply does not exceed beyond all the other restaurants of this calibre. While they were something special at one point, they've simply conformed to the status quo.",3.0,2016-06-17,Yelp
